{{-1.267591656594222*^6, {theta -> 0.44788487666714405, t1 -> 0.4861061700433271, t2 -> 2.703584267027264, yy -> 0.3707667766590671, xx -> 5.037694845638626}}}
{{-1.259597047488714*^6, {theta -> 0.4513465180524451, t1 -> 0.47263960501244195, t2 -> 2.7651735804280255, yy -> 0.3793321446523396, xx -> 5.452491342586414}}}
{{-1.256733268496654*^6, {theta -> 0.4576252310899577, t1 -> 0.47870275488043834, t2 -> 2.7564141606323105, yy -> 0.3922414792983915, xx -> 5.3439986551678125}}}
{{-1.258715739701186*^6, {theta -> 0.43873698088732643, t1 -> 0.52006863406835, t2 -> 2.803458604216195, yy -> 0.381786734268981, xx -> 5.293702704968907}}}
{{-1.2596888168854006*^6, {theta -> 0.35622080748812823, t1 -> 0.5976666327464293, t2 -> 3.6455922129942526, yy -> 0.31057748845989, xx -> 4.374378751762481}}}
{{-1.263488458855941*^6, {theta -> 0.45166950143347206, t1 -> 0.49793923958293984, t2 -> 2.6945967405535187, yy -> 0.3741318274959467, xx -> 5.053305894703302}}}
{{-1.2578701873237866*^6, {theta -> 0.3897764969119722, t1 -> 0.5379507045103596, t2 -> 3.365577131806333, yy -> 0.32813716087313805, xx -> 4.949258836359027}}}
{{-1.2649443307325365*^6, {theta -> 0.4526597457194697, t1 -> 0.47862870384746803, t2 -> 2.673248385454439, yy -> 0.37468499782649445, xx -> 5.383076882837365}}}
{{-1.256334554174022*^6, {theta -> 0.419187882652339, t1 -> 0.4701484261007885, t2 -> 3.0636741581396003, yy -> 0.35606864501641466, xx -> 5.256277271733007}}}
{{-1.2564621594460113*^6, {theta -> 0.41643361974040144, t1 -> 0.4621544409785183, t2 -> 3.1895298683019697, yy -> 0.34952953301954176, xx -> 5.486565336452941}}}
{{-1.25774291251013*^6, {theta -> 0.3744786394616228, t1 -> 0.640042792744146, t2 -> 3.3256121944104957, yy -> 0.3308524420890969, xx -> 4.514581567651408}}}
{{-1.2642173259139266*^6, {theta -> 0.4530427395360346, t1 -> 0.46973482915440434, t2 -> 2.787211947078091, yy -> 0.37587290868298345, xx -> 5.301837153466952}}}
{{-1.2625386676603884*^6, {theta -> 0.45467841125430364, t1 -> 0.4817705029195859, t2 -> 2.7536362049340832, yy -> 0.381338577342947, xx -> 5.288178073338415}}}
{{-1.2615179195437185*^6, {theta -> 0.3698790782925477, t1 -> 0.6442386366396595, t2 -> 3.17672838319371, yy -> 0.32070731612920117, xx -> 4.136330422502728}}}
{{-1.2660600560586317*^6, {theta -> 0.44471067787299257, t1 -> 0.5072349159810631, t2 -> 2.705459593935428, yy -> 0.3701904591240218, xx -> 5.273739172513174}}}
{{-1.257617692730721*^6, {theta -> 0.4543504917695408, t1 -> 0.491666287991612, t2 -> 2.738143238715367, yy -> 0.3839568938548932, xx -> 5.256614773107051}}}
{{-1.262101324071344*^6, {theta -> 0.454879551909892, t1 -> 0.4793809759624969, t2 -> 2.767887314679381, yy -> 0.37708965332428246, xx -> 5.354907336306573}}}
{{-1.2607478330181139*^6, {theta -> 0.4529809137423453, t1 -> 0.47226004138925937, t2 -> 2.7259871309848065, yy -> 0.3755791524615217, xx -> 5.492654128809013}}}
{{-1.2564911756939208*^6, {theta -> 0.45611623547854685, t1 -> 0.4862539348143818, t2 -> 2.715866872031663, yy -> 0.383289779844337, xx -> 5.591725837735271}}}
{{-1.2555954697336867*^6, {theta -> 0.4551312626523186, t1 -> 0.471498848620085, t2 -> 2.7940679717062977, yy -> 0.38292226841749166, xx -> 5.516050975142364}}}
{{-1.2524673589921389*^6, {theta -> 0.336033518130579, t1 -> 0.7362917195655415, t2 -> 3.612439525063647, yy -> 0.2813840068198625, xx -> 3.8953325903199767}}}
{{-1.262630866853643*^6, {theta -> 0.45420205081548093, t1 -> 0.48645772073881555, t2 -> 2.7645319262887447, yy -> 0.38709575907549665, xx -> 5.187931906288192}}}
{{-1.2630729294046499*^6, {theta -> 0.45527828285386657, t1 -> 0.5141004071956878, t2 -> 2.672193254543751, yy -> 0.38066318528895016, xx -> 5.010106954767299}}}
{{-1.2584904613765506*^6, {theta -> 0.45045472966393896, t1 -> 0.4674315273044024, t2 -> 2.8150212057209894, yy -> 0.383013165864592, xx -> 5.294996491513664}}}
{{-1.2617217646389827*^6, {theta -> 0.44449873077123353, t1 -> 0.4935001801826846, t2 -> 2.736557762915192, yy -> 0.3720068781502166, xx -> 5.045042537123031}}}
{{-1.2598830013869707*^6, {theta -> 0.4097305341864758, t1 -> 0.5042156305168121, t2 -> 2.943771025909352, yy -> 0.3293689000830753, xx -> 4.784893934812855}}}
{{-1.258555069116835*^6, {theta -> 0.44797278018135334, t1 -> 0.4687824776181055, t2 -> 2.8257416862601157, yy -> 0.378080737738613, xx -> 5.265394315627832}}}
{{-1.2585996673370893*^6, {theta -> 0.4546591686735744, t1 -> 0.4714564407309081, t2 -> 2.7822670423492837, yy -> 0.38355807140262305, xx -> 5.4520027509687266}}}
{{-1.2568878787002056*^6, {theta -> 0.45689791500908633, t1 -> 0.46937770100542137, t2 -> 2.8392147030164967, yy -> 0.38771352518063473, xx -> 5.700076592267309}}}
{{-1.2600178211137843*^6, {theta -> 0.45164746688964014, t1 -> 0.48519066691093193, t2 -> 2.6963919636690443, yy -> 0.37700923416330595, xx -> 5.332691249985484}}}
{{-1.2586745151467305*^6, {theta -> 0.454475411988195, t1 -> 0.4605510653260434, t2 -> 2.8004247538087057, yy -> 0.3819753835675419, xx -> 5.684922308875672}}}
