{-942573.218631562, {theta -> 1.5431486141875954, t1 -> 0.3490307610518739, yy -> 6.622911823013892, xx -> 9.147961194715238}}
{-937995.7184525961, {theta -> 1.518163035299189, t1 -> 0.3643150353936499, yy -> 6.610170802730719, xx -> 9.454959184186743}}
{-941020.4122814671, {theta -> 1.5108250484597914, t1 -> 0.3732978613432736, yy -> 6.201976996138201, xx -> 9.273969157994427}}
{-940973.9717569407, {theta -> 1.5339391744623394, t1 -> 0.3587012683902598, yy -> 6.291136626916201, xx -> 9.786185339742774}}
{-940274.6515811887, {theta -> 1.5148377808976723, t1 -> 0.36349916609872107, yy -> 6.404910147550823, xx -> 9.205931936231266}}
{-933170.4509277681, {theta -> 1.515391467419554, t1 -> 0.3638137812266456, yy -> 6.814960030433001, xx -> 9.805801256719713}}
{-939500.2286635857, {theta -> 1.5168301866785328, t1 -> 0.36786657980217274, yy -> 6.354871477710899, xx -> 9.530484957994902}}
{-940927.0628940656, {theta -> 1.5262362700671281, t1 -> 0.35967027372088767, yy -> 6.536844288759874, xx -> 9.1023964393107}}
{-942526.4134580072, {theta -> 1.5367363712257327, t1 -> 0.3545828707176892, yy -> 6.665558425543473, xx -> 8.860034882492538}}
{-938447.6481389361, {theta -> 1.517917764230556, t1 -> 0.3608454217804118, yy -> 6.738224832806683, xx -> 9.024768821327628}}
{-941195.4966600104, {theta -> 1.5215614925865784, t1 -> 0.3657401250807504, yy -> 6.460841984109802, xx -> 8.983995813192935}}
{-938383.4013722122, {theta -> 1.5235129259229838, t1 -> 0.3590695581177794, yy -> 6.42491193913201, xx -> 9.757797793470619}}
{-937907.5206801936, {theta -> 1.551639565714095, t1 -> 0.34876161510091075, yy -> 6.672070282521922, xx -> 10.201221997459344}}
{-936934.8231652117, {theta -> 1.5313167098453655, t1 -> 0.36250937753309875, yy -> 6.690065782534675, xx -> 9.75723660456579}}
{-938032.1536884627, {theta -> 1.4981581410373943, t1 -> 0.3734692678702052, yy -> 6.316468331031874, xx -> 9.394597991353397}}
{-939007.2774651656, {theta -> 1.5045045901940415, t1 -> 0.37194790636907255, yy -> 6.373111348015494, xx -> 9.348188126051072}}
{-945157.1459140391, {theta -> 1.5120772929869144, t1 -> 0.3680039992202955, yy -> 6.581920146407403, xx -> 8.015586180663647}}
{-939071.1290525799, {theta -> 1.5068490237644676, t1 -> 0.372216619142615, yy -> 6.4896953527135945, xx -> 8.843313835208967}}
{-938544.3561723689, {theta -> 1.5306694894906065, t1 -> 0.36681093612829807, yy -> 6.608865578936152, xx -> 9.475261935416649}}
{-938346.9295788943, {theta -> 1.5253214284515058, t1 -> 0.36411884932051997, yy -> 6.597474650134546, xx -> 9.505043569960574}}
{-940771.7622185231, {theta -> 1.5363120826317895, t1 -> 0.35921387479774525, yy -> 6.569581765975517, xx -> 9.361496303355592}}
{-939022.4338380205, {theta -> 1.52214022105074, t1 -> 0.35628631528373444, yy -> 6.529763165837442, xx -> 9.385261310853922}}
{-939571.1177148174, {theta -> 1.509781749546336, t1 -> 0.3737808433402882, yy -> 6.211161091274632, xx -> 9.731024639139003}}
{-937955.0810330964, {theta -> 1.5153546997131788, t1 -> 0.36607909846843456, yy -> 6.4122462175641495, xx -> 9.597490628652043}}
{-939993.6588641857, {theta -> 1.5112607940943945, t1 -> 0.36972462566860786, yy -> 6.455249365476742, xx -> 8.872326913786889}}
{-937577.5029971895, {theta -> 1.5322662831603635, t1 -> 0.35980537223681763, yy -> 6.738544587286086, xx -> 9.583374928317944}}
{-938933.6170967858, {theta -> 1.5441889185045103, t1 -> 0.3580212790086472, yy -> 6.837261359787946, xx -> 9.391292949178045}}
{-936359.8285132741, {theta -> 1.5109123403464815, t1 -> 0.364558732097154, yy -> 6.575308142480733, xx -> 9.656220767425216}}
