{-3.6742162813876085*^6, {theta -> 0.6262114029887709, t2 -> 2.069210911356872, adm -> 0.4236197257119355, aa -> 0.5066433933370438, yy -> 0.8443690677920062, xx -> 0.4543316421580346}}
{-3.672289852612648*^6, {theta -> 0.6814018972832394, t2 -> 2.0029103175867133, adm -> 0.3983441375505457, aa -> 0.5319283424770039, yy -> 0.9457284267299249, xx -> 0.5275988626200099}}
{-3.6738826827108813*^6, {theta -> 0.6633847315119346, t2 -> 2., adm -> 0.40442648840703904, aa -> 0.5217341492275183, yy -> 0.9252977507699194, xx -> 0.39252936286844076}}
{-3.6732259265928064*^6, {theta -> 0.4514371147500157, t2 -> 3.262009349233483, adm -> 0.5740165839905862, aa -> 0.5061800578455642, yy -> 0.5901455922883121, xx -> 0.3419816423002227}}
{-3.676721489340044*^6, {theta -> 0.4211700376375441, t2 -> 3.565567104757906, adm -> 0.623598217297427, aa -> 0.49797221511073075, yy -> 0.5517418671840998, xx -> 0.32977029140995817}}
{-3.6741828544667717*^6, {theta -> 0.6525006239519103, t2 -> 2., adm -> 0.39351594917022814, aa -> 0.5089195673858444, yy -> 0.894900946060355, xx -> 0.379779981239426}}
{-3.681617147470937*^6, {theta -> 0.6257415888584059, t2 -> 2.2249195922968754, adm -> 0.42788563754320186, aa -> 0.5511639760135266, yy -> 0.8807843615768471, xx -> 0.33760872762394817}}
{-3.6745377470681216*^6, {theta -> 0.6339607017166511, t2 -> 2.2368940675053253, adm -> 0.3953132493375052, aa -> 0.5638240348434742, yy -> 0.8359334333897459, xx -> 0.377659824877567}}
{-3.6720779519612202*^6, {theta -> 0.46582277408155015, t2 -> 3.1042484644077586, adm -> 0.5697394136161609, aa -> 0.5015166977524315, yy -> 0.6141918558335695, xx -> 0.37861254007308237}}
{-3.676355353377526*^6, {theta -> 0.5810840595716381, t2 -> 2.2959805481766824, adm -> 0.4531279902837225, aa -> 0.5058749362515353, yy -> 0.7728703320237357, xx -> 0.4063380210284012}}
{-3.6713423522344846*^6, {theta -> 0.6674332459273773, t2 -> 2.0268961212932632, adm -> 0.4060653293437343, aa -> 0.5336811602984984, yy -> 0.9500713666741807, xx -> 0.32422123641442396}}
{-3.6645840611198363*^6, {theta -> 0.41393927410722087, t2 -> 3.573497822838007, adm -> 0.6056429893525954, aa -> 0.5076806187074336, yy -> 0.5318923810162433, xx -> 0.3290034591335368}}
{-3.6688891304635787*^6, {theta -> 0.5463399563177296, t2 -> 2.5070630827664964, adm -> 0.4803781635372404, aa -> 0.5172985515929914, yy -> 0.7222287727344083, xx -> 0.4059184632637791}}
{-3.6741192340360675*^6, {theta -> 0.42128224448191864, t2 -> 3.565834011825769, adm -> 0.6178496172429576, aa -> 0.5086408790773036, yy -> 0.54901229477831, xx -> 0.3138550687712736}}
{-3.6663669479623092*^6, {theta -> 0.44551882350715494, t2 -> 3.3593010911095655, adm -> 0.584001677029276, aa -> 0.5177939243994271, yy -> 0.5845918452375911, xx -> 0.376121274951303}}
