{-5.915482290747438*^6, {theta -> 1.5282285532693636, t1 -> 0.2558127853018485, yy -> 0.01, xx -> 0.01}}
{-5.918595873804402*^6, {theta -> 1.5275725648897818, t1 -> 0.2569253197171846, yy -> 0.01252620595240475, xx -> 0.010073215760849134}}
{-5.922023579408126*^6, {theta -> 1.5420991911343518, t1 -> 0.2552208845774237, yy -> 0.09712111866028988, xx -> 0.06638968513317207}}
{-5.9195017396004265*^6, {theta -> 1.5181444877061998, t1 -> 0.26339880022231354, yy -> 0.010255877355958565, xx -> 0.010030725875736786}}
{-5.92029164832857*^6, {theta -> 1.5319239435688843, t1 -> 0.2534339785186963, yy -> 0.016929786207562664, xx -> 0.026551784032610597}}
{-5.922208984304143*^6, {theta -> 1.5072268068011085, t1 -> 0.26584171101881293, yy -> 0.0543715234972256, xx -> 0.060312811226695046}}
{-5.921602026800808*^6, {theta -> 1.5451095833861799, t1 -> 0.24808992516563572, yy -> 0.01066911822575176, xx -> 0.011902746093180793}}
{-5.916048127881896*^6, {theta -> 1.529716693023903, t1 -> 0.2574150302004991, yy -> 0.013913011684736923, xx -> 0.01054006362806971}}
{-5.923043016507223*^6, {theta -> 1.533382885186063, t1 -> 0.2559281429636354, yy -> 0.010726317938604778, xx -> 0.010043556342742234}}
{-5.9165963588224165*^6, {theta -> 1.5102303280795695, t1 -> 0.26625359554336675, yy -> 0.01, xx -> 0.010031391214422928}}
{-5.923385199533464*^6, {theta -> 1.5679689676134758, t1 -> 0.2383907838493317, yy -> 0.02466549516167857, xx -> 0.039935865262670386}}
{-5.919525768827813*^6, {theta -> 1.5302708208147577, t1 -> 0.26940785049963706, yy -> 0.08510519855501361, xx -> 0.05680788655574434}}
{-5.913787736656481*^6, {theta -> 1.5126326957226983, t1 -> 0.26378558337934577, yy -> 0.011135154614512806, xx -> 0.010316944631770894}}
{-5.919120295998797*^6, {theta -> 1.518142233876428, t1 -> 0.26251234408017765, yy -> 0.010012494487327082, xx -> 0.010057544219885327}}
{-5.918450094192643*^6, {theta -> 1.5297569429282567, t1 -> 0.25598301814161306, yy -> 0.01003871084375963, xx -> 0.01}}
{-5.918743358088063*^6, {theta -> 1.541463994911105, t1 -> 0.2500919203640026, yy -> 0.01, xx -> 0.01}}
{-5.917852978763459*^6, {theta -> 1.5221998848034082, t1 -> 0.2601623599520799, yy -> 0.01, xx -> 0.010099665758284932}}
{-5.9205489566281475*^6, {theta -> 1.551821201933743, t1 -> 0.2485527828852604, yy -> 0.01, xx -> 0.010762257309286913}}
{-5.919009928514194*^6, {theta -> 1.4953794486141048, t1 -> 0.27021132910836787, yy -> 0.03278399432373416, xx -> 0.046012603951354814}}
{-5.913979208288157*^6, {theta -> 1.5224962482417321, t1 -> 0.25828130925889137, yy -> 0.010000027059396528, xx -> 0.010196394259121621}}
{-5.920482663552535*^6, {theta -> 1.5284537751525247, t1 -> 0.2578185236224008, yy -> 0.010237722096039877, xx -> 0.01015784816325865}}
{-5.91719316947393*^6, {theta -> 1.5245639799770738, t1 -> 0.25752074428636057, yy -> 0.01, xx -> 0.010002087339524627}}
{-5.914809611401765*^6, {theta -> 1.5151741428437224, t1 -> 0.2633037255481859, yy -> 0.01, xx -> 0.010138154098402182}}
