{-4.338099386778302*^6, {theta -> 0.845418930923882, t1 -> 0.09855596127742566, t2 -> 1.2022922911269665, aa -> 0.42274486167724373, yy -> 0.22265860674671364, xx -> 3.217476243551669}}
{-4.322402566192675*^6, {theta -> 0.8030421978913281, t1 -> 0.16200541749709652, t2 -> 1.2745883769931399, aa -> 0.50816514460304, yy -> 0.2254783856964813, xx -> 2.052349839191284}}
{-4.327977300862901*^6, {theta -> 0.8, t1 -> 0.14548066067352694, t2 -> 1.2979501479183555, aa -> 0.4991676235690137, yy -> 0.22340962750871948, xx -> 2.174728089691968}}
{-4.333095737053335*^6, {theta -> 0.8605671350194684, t1 -> 0.17085889348862343, t2 -> 1.0901323255010174, aa -> 0.43399745678473245, yy -> 0.2376888946785124, xx -> 2.0000000277775003}}
{-4.327475461341816*^6, {theta -> 0.8003533214892904, t1 -> 0.11256270116461208, t2 -> 1.3234536272666504, aa -> 0.4866886408825022, yy -> 0.21442323267330093, xx -> 2.8680845745610837}}
{-4.336707328948196*^6, {theta -> 0.8306137550287717, t1 -> 0.1631198393518179, t2 -> 1.1569222195799722, aa -> 0.4005014932708586, yy -> 0.227522008147591, xx -> 2.0015503606020872}}
{-4.33109692998969*^6, {theta -> 0.8002843628743812, t1 -> 0.16515945909247598, t2 -> 1.300357412545158, aa -> 0.49118377992937445, yy -> 0.22705541376125316, xx -> 2.1027954937447815}}
{-4.326109554286092*^6, {theta -> 0.92534417829632, t1 -> 0.11808773214307286, t2 -> 0.9535961537716079, aa -> 0.4425397642363743, yy -> 0.2285292299415143, xx -> 2.7863726680410403}}
{-4.33399880397066*^6, {theta -> 0.8002765168639228, t1 -> 0.16308982902174768, t2 -> 1.266776322317952, aa -> 0.46059799222011666, yy -> 0.21610938908661984, xx -> 2.051951657013749}}
{-4.324356805229784*^6, {theta -> 0.8004649653869756, t1 -> 0.16635798420297296, t2 -> 1.2883984141011382, aa -> 0.5118859366735906, yy -> 0.22756015455065323, xx -> 2.0592998663549}}
{-4.327034179087826*^6, {theta -> 0.8181746161946996, t1 -> 0.1070105959274367, t2 -> 1.274983365771278, aa -> 0.47330371732173077, yy -> 0.22209330379145198, xx -> 3.0580651264217638}}
{-4.320964669046482*^6, {theta -> 0.8039923176045911, t1 -> 0.14943168137304227, t2 -> 1.299501204904869, aa -> 0.5359947692409832, yy -> 0.22463730960204215, xx -> 2.319535155942033}}
{-4.313275445184493*^6, {theta -> 0.8041310079413783, t1 -> 0.16150638746655266, t2 -> 1.2864110406426659, aa -> 0.5628002175485181, yy -> 0.23087490899877755, xx -> 2.10155748431684}}
{-4.337896316895068*^6, {theta -> 0.8, t1 -> 0.1022637399133936, t2 -> 1.3919169394437738, aa -> 0.513799200467034, yy -> 0.22103349363295965, xx -> 3.1508346592230576}}
{-4.321571476816839*^6, {theta -> 0.925577724935658, t1 -> 0.19006258674142867, t2 -> 0.888781544958515, aa -> 0.5116968843011973, yy -> 0.23576839613823772, xx -> 2.0228833098858923}}
{-4.325534661845548*^6, {theta -> 0.8392978422006527, t1 -> 0.10856738780128233, t2 -> 1.1834408648242047, aa -> 0.44525415565034565, yy -> 0.21868139343112428, xx -> 3.1833667740131393}}
{-4.3221461891283505*^6, {theta -> 0.8300527261341439, t1 -> 0.1646500391132109, t2 -> 1.1585268887966989, aa -> 0.4591761819046168, yy -> 0.22926948577992423, xx -> 2.062544561364671}}
{-4.322090922588583*^6, {theta -> 0.8, t1 -> 0.16708863590576872, t2 -> 1.2789095509842938, aa -> 0.5172088508222534, yy -> 0.22361863500644358, xx -> 2.0034459414295354}}
{-4.3394198294938905*^6, {theta -> 0.9281606883074665, t1 -> 0.18995016127808217, t2 -> 0.8833090916486408, aa -> 0.4060257271983026, yy -> 0.24798113514569953, xx -> 2.}}
{-4.340470903394468*^6, {theta -> 0.9500666287002315, t1 -> 0.15107129582772627, t2 -> 0.8657016423835923, aa -> 0.31430158082361065, yy -> 0.25276155777324116, xx -> 2.442685331891459}}
{-4.338888990428159*^6, {theta -> 0.811547347822548, t1 -> 0.1606623840417743, t2 -> 1.2448539193900934, aa -> 0.43523310662613235, yy -> 0.2260994653858081, xx -> 2.0265885383529496}}
{-4.317261890546786*^6, {theta -> 0.9124511926535898, t1 -> 0.16610325571057613, t2 -> 0.9392191680688913, aa -> 0.5171045199476699, yy -> 0.23258809782011455, xx -> 2.1529930070538756}}
