{-1.2734240945633717*^6, {theta -> 1.276357661565683, t1 -> 0.09336057754759362, t2 -> 0.12192436373476712, adm -> 0.15513143361947906, aa -> 0.10487953594146604, yy -> 6.725435509007262, xx -> 13.797135244079858}}
{-1.2794648734261263*^6, {theta -> 1.2830636410973124, t1 -> 0.09822644802715418, t2 -> 0.11152161562912669, adm -> 0.16228817274891763, aa -> 0.08494023208079919, yy -> 6.601865021555695, xx -> 13.471314026940215}}
{-1.2816898403705386*^6, {theta -> 1.2882871830725993, t1 -> 0.1178348692236701, t2 -> 0.10081161905668545, adm -> 0.14241952870792796, aa -> 0.06396904019309713, yy -> 6.73670596528339, xx -> 13.270971539436399}}
{-1.276359933489773*^6, {theta -> 1.2898396875856475, t1 -> 0.10711395142190587, t2 -> 0.11335358421501346, adm -> 0.14166641476117758, aa -> 0.08081838161245238, yy -> 6.834243451402236, xx -> 13.419455196797628}}
{-1.2808205309530874*^6, {theta -> 1.2564292915668545, t1 -> 0.09162608286562585, t2 -> 0.11612057868203927, adm -> 0.17704628968180305, aa -> 0.11835841208064485, yy -> 6.367079302096968, xx -> 13.272877311111905}}
{-1.2749434290186833*^6, {theta -> 1.2795553441324792, t1 -> 0.09233258382261447, t2 -> 0.11314045645365223, adm -> 0.16529189995370358, aa -> 0.10271841009439021, yy -> 6.737224188203093, xx -> 13.649193049816919}}
{-1.2867403722167294*^6, {theta -> 1.2752751251530803, t1 -> 0.10080778976781067, t2 -> 0.11788274585021875, adm -> 0.1595681713316379, aa -> 0.10105629202289582, yy -> 6.302241029329123, xx -> 13.214964078865332}}
{-1.2784766562408572*^6, {theta -> 1.2841593639309714, t1 -> 0.10208344878544319, t2 -> 0.11098723844672154, adm -> 0.16268950037269636, aa -> 0.10913929146541, yy -> 6.832051383941303, xx -> 13.587719146526481}}
{-1.2730850038056867*^6, {theta -> 1.2643461661388677, t1 -> 0.12609709576361725, t2 -> 0.10820250787845938, adm -> 0.146372425282083, aa -> 0.053315968854025474, yy -> 6.824320322628633, xx -> 12.44255963908929}}
{-1.285263478631582*^6, {theta -> 1.2970164989116788, t1 -> 0.1016202585553837, t2 -> 0.1180535182526733, adm -> 0.14681800242598236, aa -> 0.08442082598594991, yy -> 6.519808288035898, xx -> 13.312851332573493}}
