{-3.5393526943648555*^6, {theta -> 0.9213455948328384, t1 -> 0.16333485334753567, t2 -> 0.8950055079674815, aa -> 0.061848787399456526, yy -> 6.021458231727349, xx -> 0.15121213344690468}}
{-3.52599668412765*^6, {theta -> 0.8901568681849165, t1 -> 0.18661650765597748, t2 -> 0.9472561251770037, aa -> 0.10599936967976283, yy -> 5.436407681887959, xx -> 0.11852874547008158}}
{-3.533913083554834*^6, {theta -> 0.9085007941493705, t1 -> 0.15670770893556835, t2 -> 0.9241434026761329, aa -> 0.07968956012355174, yy -> 6.218760275506306, xx -> 0.1420857063837626}}
{-3.544685325318617*^6, {theta -> 0.9889585333523592, t1 -> 0.21030221942889984, t2 -> 0.7453620294501001, aa -> 0.062395562731599866, yy -> 5.05350466158456, xx -> 0.20491712061069833}}
{-3.536493968469393*^6, {theta -> 0.8846814834440562, t1 -> 0.19179885799551954, t2 -> 0.9358982005102021, aa -> 0.06345552512912137, yy -> 5.180896664399707, xx -> 0.10000160638212734}}
{-3.541408348812937*^6, {theta -> 0.9686689798299972, t1 -> 0.21291261344105006, t2 -> 0.6954182811926466, aa -> 0.016250963947361863, yy -> 5.007433917115111, xx -> 0.1029520714823838}}
{-3.518736283614995*^6, {theta -> 0.8912779701606124, t1 -> 0.1556865718667789, t2 -> 0.9801853305622599, aa -> 0.12652692908536994, yy -> 6.470523690558275, xx -> 0.1502261384919501}}
{-3.5396869912948865*^6, {theta -> 0.8952094251452891, t1 -> 0.1887506295865225, t2 -> 0.9462670993103461, aa -> 0.09123779330092263, yy -> 5.2053396698910195, xx -> 0.11389140291399732}}
{-3.5220607756034746*^6, {theta -> 0.8850478917491702, t1 -> 0.16298767071278225, t2 -> 0.9908393027327611, aa -> 0.1404867139054293, yy -> 6.062500942392432, xx -> 0.1478552296083388}}
{-3.531638707578644*^6, {theta -> 0.917757910746432, t1 -> 0.20784630162149045, t2 -> 0.8812191027050418, aa -> 0.09771717982472748, yy -> 5., xx -> 0.1678254984740401}}
{-3.5210722950541032*^6, {theta -> 0.8932935324258284, t1 -> 0.1991111309940531, t2 -> 0.935186911523926, aa -> 0.1537208595519841, yy -> 5.092739026729211, xx -> 0.16016034248397604}}
{-3.5241881789974286*^6, {theta -> 0.8731252837186, t1 -> 0.17162289082528437, t2 -> 1.0105418179689725, aa -> 0.09611234450932093, yy -> 5.9062395469804505, xx -> 0.15533825779409857}}
{-3.5202235343010253*^6, {theta -> 0.9010346836021699, t1 -> 0.16557017152161482, t2 -> 0.9607014093735441, aa -> 0.1250723757970289, yy -> 6.2599059129712264, xx -> 0.15774998606362786}}
{-3.5346408248958103*^6, {theta -> 0.8895159445504238, t1 -> 0.13877445072285724, t2 -> 1.0038249709238647, aa -> 0.11022380865142928, yy -> 6.702508964741099, xx -> 0.13533553998908004}}
{-3.507064662410046*^6, {theta -> 0.892489434090677, t1 -> 0.15389101734903882, t2 -> 0.9818171796878865, aa -> 0.14705993570383738, yy -> 6.768755742712365, xx -> 0.14538593917521475}}
{-3.529999087798397*^6, {theta -> 0.8981110730554457, t1 -> 0.19304508739460952, t2 -> 0.9336578652022716, aa -> 0.14678476410047614, yy -> 5.101002890961453, xx -> 0.1580047858718735}}
{-3.5302701721837213*^6, {theta -> 0.8921923925137876, t1 -> 0.19531713669349351, t2 -> 0.9365256046234247, aa -> 0.13973352335952544, yy -> 5.018486585857478, xx -> 0.14905727112030492}}
{-3.5393669092128514*^6, {theta -> 0.8793704514013331, t1 -> 0.19853800769077817, t2 -> 0.9574410632401025, aa -> 0.0811706902018888, yy -> 5., xx -> 0.11359857754379515}}
{-3.5398150707510444*^6, {theta -> 0.9089785909298396, t1 -> 0.12660148306388927, t2 -> 0.982012778188217, aa -> 0.09290509148485619, yy -> 7.469800990104316, xx -> 0.1562751870215365}}
{-3.5358512134208*^6, {theta -> 0.9573449330559938, t1 -> 0.14364734368011722, t2 -> 0.8420815479250386, aa -> 0.03233816525471174, yy -> 7.105275073857135, xx -> 0.13562491716367336}}
{-3.529390771758855*^6, {theta -> 0.8921863152973439, t1 -> 0.19359260152697166, t2 -> 0.9251235199635619, aa -> 0.10252698417990039, yy -> 5.316142653083233, xx -> 0.10000002247044815}}
{-3.539005818370674*^6, {theta -> 0.8735203874825821, t1 -> 0.19154030165842323, t2 -> 0.970023373867567, aa -> 0.06881775078161889, yy -> 5.108966726258127, xx -> 0.12420360714889975}}
{-3.5412033508359008*^6, {theta -> 0.8902930253252925, t1 -> 0.17331965046200842, t2 -> 0.9677054504762644, aa -> 0.07977252273831104, yy -> 5.505539732464524, xx -> 0.14940342362810077}}
{-3.5307291618863707*^6, {theta -> 0.9071330740064919, t1 -> 0.19436135416826703, t2 -> 0.9039947526267347, aa -> 0.11149074255516088, yy -> 5.110545326388856, xx -> 0.15893082661556435}}
{-3.5406167863353183*^6, {theta -> 0.8988474943550611, t1 -> 0.17935763947460903, t2 -> 0.9517764299882602, aa -> 0.11267416757287743, yy -> 5.321755553962713, xx -> 0.15958218990958783}}
{-3.537068023913191*^6, {theta -> 1.0453694458464355, t1 -> 0.15353013752868908, t2 -> 0.6981340567251099, aa -> 0.06501808341892969, yy -> 7.132795531207864, xx -> 0.17226396568032679}}
{-3.538832560947897*^6, {theta -> 0.8912963940474832, t1 -> 0.1430299507636713, t2 -> 0.9805051689127962, aa -> 0.06069335038047372, yy -> 6.791188677553603, xx -> 0.10028242461401814}}
{-3.5375251380590065*^6, {theta -> 0.9124329754785818, t1 -> 0.1272439964087175, t2 -> 0.9832064260663016, aa -> 0.0995175154923908, yy -> 7.462454550576226, xx -> 0.1505421469253308}}
{-3.534022417279824*^6, {theta -> 0.9031112773223698, t1 -> 0.16535556529373135, t2 -> 0.9562254289938832, aa -> 0.06460848188673776, yy -> 5.973378284959409, xx -> 0.16504852595776995}}
{-3.5292525554480255*^6, {theta -> 0.9189466634909355, t1 -> 0.19008695803755465, t2 -> 0.9159834376472138, aa -> 0.11274633333178495, yy -> 5.432233734666102, xx -> 0.1939780726014192}}
{-3.529218883946603*^6, {theta -> 0.888891671228994, t1 -> 0.16436487348462359, t2 -> 0.9876816563652973, aa -> 0.08401392630962616, yy -> 6.056887480868118, xx -> 0.15244214678782833}}
{-3.53610571444608*^6, {theta -> 0.8996229998904537, t1 -> 0.12751214921784237, t2 -> 1.0044679696674952, aa -> 0.11334471112086598, yy -> 7.48718668900902, xx -> 0.14646900785108202}}
{-3.53894468039063*^6, {theta -> 0.8928737495635902, t1 -> 0.17902960233940945, t2 -> 0.9350043715359857, aa -> 0.06794759171475608, yy -> 5.432668579837337, xx -> 0.12344615911080666}}
{-3.541745950145486*^6, {theta -> 0.9603487878890004, t1 -> 0.15215851306440092, t2 -> 0.8190442510840554, aa -> 0.037967874797141254, yy -> 6.614379029722663, xx -> 0.13201345582244894}}
{-3.537127199490312*^6, {theta -> 0.8909416032072748, t1 -> 0.19351479579282693, t2 -> 0.9517978163095251, aa -> 0.054300573794756425, yy -> 5.114193712436622, xx -> 0.1678330009147172}}
{-3.5426295180941094*^6, {theta -> 0.9138382517155555, t1 -> 0.14464686560225942, t2 -> 0.9444824161396146, aa -> 0.07087105191097458, yy -> 6.484670114800925, xx -> 0.17364849328198745}}
{-3.5381082885300065*^6, {theta -> 0.9018416474376185, t1 -> 0.12556632900810694, t2 -> 1.0055081871377591, aa -> 0.12443517860277786, yy -> 7.415527640308092, xx -> 0.1725992531813798}}
{-3.5309241569971433*^6, {theta -> 0.8961108141539295, t1 -> 0.1394221276552255, t2 -> 0.9954120610460768, aa -> 0.11453277411921878, yy -> 6.855912349943078, xx -> 0.15758792746357891}}
