{-7.190581721595741*^6, {theta -> 1.0757084504673542, t2 -> 1.5017814778212313, adm -> 0.5691264143902699, aa -> 0.7808064163603237, yy -> 0.10000001200225711, xx -> 1.2859116615707291}}
{-7.198717648343701*^6, {theta -> 1.0813437526222112, t2 -> 1.5012063710454044, adm -> 0.5567908035383271, aa -> 0.7738884297326256, yy -> 0.10212387404515455, xx -> 1.2853549339937593}}
{-7.202820463573783*^6, {theta -> 1.0781648435564808, t2 -> 1.6255802661080991, adm -> 0.5478809770390612, aa -> 0.7997630339815134, yy -> 0.10230184680644286, xx -> 1.243157631444142}}
{-7.197298937268815*^6, {theta -> 1.1135535564183372, t2 -> 1.5303668643596098, adm -> 0.5467606841259001, aa -> 0.7871831971155364, yy -> 0.1, xx -> 1.3274768243864135}}
{-7.202728264902717*^6, {theta -> 1.1075155636162228, t2 -> 1.5039066210278698, adm -> 0.5553451922276167, aa -> 0.7842894210373721, yy -> 0.1002877986396554, xx -> 1.3239447489408005}}
{-7.192347850647001*^6, {theta -> 1.064577884778617, t2 -> 1.519893070241367, adm -> 0.5735502873902728, aa -> 0.7788860885555675, yy -> 0.10002787291746032, xx -> 1.2697278810770316}}
{-7.192416672551485*^6, {theta -> 1.0815578783615019, t2 -> 1.5004884239953231, adm -> 0.5628949706147983, aa -> 0.781451059677225, yy -> 0.10256095685340558, xx -> 1.2902971488556259}}
{-7.195666834896332*^6, {theta -> 1.0604041094148933, t2 -> 1.5, adm -> 0.5592657702103276, aa -> 0.7720193990309554, yy -> 0.10074182250936763, xx -> 1.247908689841581}}
{-7.19396080906212*^6, {theta -> 1.087430678506849, t2 -> 1.504600862032881, adm -> 0.5614597668330796, aa -> 0.7809548626576175, yy -> 0.10388231922684185, xx -> 1.2976799622765527}}
{-7.196711128042644*^6, {theta -> 1.0858575552194014, t2 -> 1.5000982577897295, adm -> 0.564798223976815, aa -> 0.7793603905374948, yy -> 0.10060654056382679, xx -> 1.2942789199640694}}
{-7.197277770736219*^6, {theta -> 1.1329684851185322, t2 -> 1.5013015395513525, adm -> 0.549565797812024, aa -> 0.7905875471187371, yy -> 0.1082606564760294, xx -> 1.3666330763752401}}
{-7.206837973657212*^6, {theta -> 1.0941227812179637, t2 -> 1.511709376971149, adm -> 0.5617502654944642, aa -> 0.7686241144955027, yy -> 0.13628054172571652, xx -> 1.3258818242297055}}
{-7.203227492255859*^6, {theta -> 1.0719510440285187, t2 -> 1.5012940289139318, adm -> 0.5665795243991745, aa -> 0.7741414486135977, yy -> 0.10768794688852723, xx -> 1.26953802662991}}
{-7.198584939981024*^6, {theta -> 1.0903302785877402, t2 -> 1.5216484850464442, adm -> 0.5598067136577443, aa -> 0.7780882510205175, yy -> 0.1, xx -> 1.30548057799354}}
{-7.201142101370644*^6, {theta -> 1.1137359185681714, t2 -> 1.517876624732824, adm -> 0.5609698747650405, aa -> 0.7938164017484661, yy -> 0.1390663539232297, xx -> 1.3369401831368006}}
{-7.196215162811656*^6, {theta -> 1.0796069969368973, t2 -> 1.5, adm -> 0.5646582741211625, aa -> 0.7794275503235792, yy -> 0.10009746062635036, xx -> 1.290123278246001}}
{-7.200650166756164*^6, {theta -> 1.0571519345094933, t2 -> 1.5481839768375738, adm -> 0.5738087297386505, aa -> 0.782700149441533, yy -> 0.1143139133987828, xx -> 1.2479639577544908}}
{-7.19685054275941*^6, {theta -> 1.0754646761774351, t2 -> 1.545638042991195, adm -> 0.5708128958253893, aa -> 0.7827618503106701, yy -> 0.10563173936418105, xx -> 1.2774725626625494}}
{-7.200884488871588*^6, {theta -> 1.0812662027454405, t2 -> 1.5029282318025037, adm -> 0.5676167288809449, aa -> 0.7735984722676359, yy -> 0.10079561862671912, xx -> 1.2920099486754073}}
{-7.200065560989224*^6, {theta -> 1.0893124156693952, t2 -> 1.5016353889362646, adm -> 0.5641431223714695, aa -> 0.7812696821686506, yy -> 0.10757627388809546, xx -> 1.3062492440999887}}
{-7.194063628123781*^6, {theta -> 1.1098200037408175, t2 -> 1.5, adm -> 0.5540117842354408, aa -> 0.7830103313958521, yy -> 0.10111139430110697, xx -> 1.3360895949336684}}
{-7.194737287117144*^6, {theta -> 1.0594644903288606, t2 -> 1.511586846260419, adm -> 0.5758324029932241, aa -> 0.7755326643797018, yy -> 0.11105294914628121, xx -> 1.2581694667625731}}
{-7.198438846979731*^6, {theta -> 1.1033745658282017, t2 -> 1.5, adm -> 0.5597380093091543, aa -> 0.7815279708371836, yy -> 0.11372441783845438, xx -> 1.3275505378612635}}
{-7.193771012791846*^6, {theta -> 1.0922723180755125, t2 -> 1.5, adm -> 0.5619682020132137, aa -> 0.7779938433953587, yy -> 0.10112249183920353, xx -> 1.3202890473567592}}
{-7.19329832058849*^6, {theta -> 1.1015985606773575, t2 -> 1.5, adm -> 0.558081568371276, aa -> 0.788710256933405, yy -> 0.1022054766002769, xx -> 1.3198218576363998}}
{-7.20090560568838*^6, {theta -> 1.1117446775065312, t2 -> 1.5930081053401188, adm -> 0.564432191453704, aa -> 0.8033314564616729, yy -> 0.1355925046524181, xx -> 1.3270530321326188}}
